sample_name	ABL1 Rearrangement	ABL1 Somatic Variant	AKT1 Somatic Variant	AKT2 Somatic Variant	AKT3 Somatic Variant	ALK Rearrangement	ALK Somatic Variant	AR Copy Number	AR Somatic Variant	ARAF Somatic Variant	ARID1A Copy Number	ARID1A Somatic Variant	ASXL1 Somatic Variant	ATM Somatic Variant	AURKA Copy Number	AURKB Copy Number	BARD1 Somatic Variant	BCOR Somatic Variant	BCR Rearrangement	BCR Somatic Variant	BLM Somatic Variant	BRAF Copy Number	BRAF Rearrangement	BRAF Somatic Variant	BRCA1 Somatic Variant	BRCA2 Copy Number	BRCA2 Somatic Variant	BRD4 Rearrangement	BRIP1 Somatic Variant	CCND1 Copy Number	CCND1 Rearrangement	CCND3 Rearrangement	CCNE1 Copy Number	CD274 Copy Number	CDK12 Somatic Variant	CDK4 Copy Number	CDKN2A Copy Number	CDKN2C Copy Number	CHEK1 Somatic Variant	CHEK2 Somatic Variant	COL1A1 Rearrangement	CRKL Copy Number	CTNNB1 Somatic Variant	DNMT3A Somatic Variant	EGFR Copy Number	EGFR Somatic Variant	EML4 Rearrangement	ERBB2 Copy Number	ERBB2 Somatic Variant	ERBB3 Somatic Variant	ERCC2 Somatic Variant	ERG Rearrangement	ERRFI1 Somatic Variant	ESR1 Copy Number	ESR1 Somatic Variant	ESRP1 Rearrangement	ETV6 Somatic Variant	EWSR1 Rearrangement	EZH2 Somatic Variant	FANCL Somatic Variant	FBXW7 Copy Number	FBXW7 Somatic Variant	FGFR1 Copy Number	FGFR2 Copy Number	FGFR2 Rearrangement	FGFR3 Rearrangement	FGFR3 Somatic Variant	FIP1L1 Rearrangement	FLCN Somatic Variant	FLI1 Rearrangement	FLT3 Somatic Variant	GATA3 Somatic Variant	HIF1a Copy Number	IDH1 Somatic Variant	IDH2 Somatic Variant	IGH Rearrangement	JAK1 Somatic Variant	JAK2 Somatic Variant	JAK3 Somatic Variant	KEAP1 Copy Number	KIT Copy Number	KIT Somatic Variant	KRAS Somatic Variant	MAP2K1 Somatic Variant	MAP2K2 Somatic Variant	MAPK1 Somatic Variant	MC1R Somatic Variant	MDM2 Copy Number	MET Copy Number	MET Somatic Variant	MIR17HG Copy Number	MLH3 Somatic Variant	MPL Somatic Variant	MRE11 Copy Number	MSH2 Somatic Variant	MSH6 Somatic Variant	MTOR Somatic Variant	MYC Copy Number	MYH Somatic Variant	NFE2L2 Somatic Variant	NRAS Somatic Variant	NSD2 Rearrangement	NTRK1 Rearrangement	NTRK2 Rearrangement	NTRK3 Rearrangement	PAK1 Copy Number	PALB2 Somatic Variant	PBRM1 Copy Number	PBRM1 Somatic Variant	PDGFB Rearrangement	PDGFRA Rearrangement	PDGFRA Somatic Variant	PDGFRB Rearrangement	PIK3CA Copy Number	PIK3CA Somatic Variant	PIK3CB Somatic Variant	POLD1 Somatic Variant	POLE Somatic Variant	PRPF8 Somatic Variant	PTEN Copy Number	PTEN Somatic Variant	PTPN11 Somatic Variant	RAD51B Somatic Variant	RAD51C Somatic Variant	RAD51D Somatic Variant	RAD54L Somatic Variant	RAF1 Rearrangement	RB1 Copy Number	RBM10 Somatic Variant	RET Rearrangement	RET Somatic Variant	ROS1 Rearrangement	RUNX1 Rearrangement	RUNX1 Somatic Variant	RUNX1T1 Rearrangement	SETBP1 Somatic Variant	SF3B1 Somatic Variant	SLC45A3 Rearrangement	SMARCA4 Somatic Variant	STAG2 Somatic Variant	TACC3 Rearrangement	TET2 Somatic Variant	TMPRSS2 Rearrangement	TP53 Copy Number	TP53 Somatic Variant	TPX2 Copy Number	TSC1 Somatic Variant	TSC2 Somatic Variant	ZRSR2 Somatic Variant
ACH-000001	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
ACH-000007	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACH-000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACH-000009	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
ACH-000012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ACH-000015	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
ACH-000023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ACH-000030	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ACH-000035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
ACH-000040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
